City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,chernyshevskiy,63.0128,112.4714,-5.61,95,100,4.53,RU,1680548534
83,luanda,-8.8368,13.2343,28.0,74,40,4.63,AO,1680548444
84,hilo,19.7297,-155.09,24.04,89,100,2.57,US,1680548379
85,ribeira grande,38.5167,-28.7,16.22,67,20,5.66,PT,1680548384
86,clyde river,70.4692,-68.5914,-22.87,84,0,3.09,CA,1680548544
87,port lincoln,-34.7333,135.8667,17.63,72,5,2.52,AU,1680548546
88,bethel,41.3712,-73.414,15.2,42,2,1.79,US,1680548549
89,latung,5.5,120.8833,27.34,80,100,4.69,PH,1680548552
90,ola,59.5833,151.2833,-18.12,84,29,3.54,RU,1680548555
91,padang,-0.9492,100.3543,24.85,86,100,1.11,ID,1680548284
92,nador,35.174,-2.9287,19.04,67,0,2.06,MA,1680548559
93,ponta do sol,32.6667,-17.1,19.51,58,63,3.72,PT,1680548491
94,annan,54.9884,-3.2565,8.32,75,100,0.46,GB,1680548408
95,alofi,-19.0595,-169.9187,24.94,94,75,5.14,NU,1680548570
96,cabo san lucas,22.8909,-109.9124,27.81,48,100,5.11,MX,1680548572
97,cockburn town,21.4612,-71.1419,27.98,61,40,5.14,TC,1680548523
98,bowen,-20.0167,148.2333,23.66,92,97,3.42,AU,1680548578
99,leningradskiy,69.3833,178.4167,-31.67,97,8,2.21,RU,1680548582
100,georgetown,5.4112,100.3354,25.97,87,20,0.0,MY,1680548472
101,jamestown,42.097,-79.2353,16.8,41,0,5.14,US,1680548460
102,agadez,19.75,10.25,23.6,8,95,1.33,NE,1680548590
103,christchurch,-43.5333,172.6333,7.75,91,100,0.51,NZ,1680548421
104,butaritari,3.0707,172.7902,27.68,80,100,8.23,KI,1680548469
105,aguascalientes,21.8833,-102.3,27.17,18,96,4.22,MX,1680548441
106,altay,47.8667,88.1167,-5.79,41,0,3.15,CN,1680548599
107,khatanga,71.9667,102.5,-23.14,98,100,2.98,RU,1680548547
108,tuktoyaktuk,69.4541,-133.0374,-21.0,77,75,1.54,CA,1680548480
109,punuare,14.7333,-85.9667,35.42,30,8,4.12,HN,1680548606
110,mujiayingzi,42.1167,118.7833,2.22,84,100,3.47,CN,1680548609
111,san patricio,28.017,-97.5169,33.98,52,99,7.01,US,1680548613
112,knysna,-34.0363,23.0471,16.25,91,99,2.25,ZA,1680548616
113,dumas,35.8656,-101.9732,27.08,6,0,9.77,US,1680548621
114,norman wells,65.282,-126.8329,-7.98,86,100,2.57,CA,1680548623
115,bambous virieux,-20.3428,57.7575,26.23,83,40,3.09,MU,1680548400
116,nhulunbuy,-12.2333,136.7667,26.34,94,100,2.06,AU,1680548630
117,whitehorse,60.7161,-135.0538,-2.72,59,75,0.45,CA,1680548625
118,taoudenni,22.6783,-3.9836,31.93,5,0,0.76,ML,1680548634
119,lavrentiya,65.5833,-171.0,-15.66,94,95,2.33,RU,1680548443
120,nizhniy kuranakh,58.8353,125.4869,-9.28,94,100,4.39,RU,1680548640
121,porto novo,6.4965,2.6036,29.9,76,100,4.62,BJ,1680548533
122,lagoa,39.05,-27.9833,14.5,71,100,6.16,PT,1680548646
123,nome,64.5011,-165.4064,-13.24,86,100,1.27,US,1680548534
124,lerwick,60.1545,-1.1494,7.0,77,42,8.99,GB,1680548651
125,havoysund,70.9963,24.6622,1.13,75,59,8.11,NO,1680548653
126,cecina,43.3128,10.524,14.32,52,0,9.15,IT,1680548656
127,jasper,37.2001,-94.3502,27.71,44,0,5.14,US,1680548659
128,puerto ayora,-0.7393,-90.3518,30.98,88,100,2.68,EC,1680548368
129,carutapera,-1.195,-46.02,23.05,97,100,1.53,BR,1680548663
130,hamilton,39.1834,-84.5333,20.43,64,100,2.24,US,1680548250
131,saskylakh,71.9167,114.0833,-20.87,97,97,4.92,RU,1680548668
132,atasu,48.6814,71.6433,1.55,48,0,6.69,KZ,1680548670
133,victoria,22.2855,114.1577,22.76,95,97,0.45,HK,1680548352
134,berdigestyakh,62.0989,126.6992,-10.09,96,100,2.52,RU,1680548675
135,puerto del rosario,28.5004,-13.8627,20.86,60,20,10.29,ES,1680548552
136,narrabri,-30.3167,149.7833,15.85,82,18,0.89,AU,1680548680
137,santa isabel,-23.3156,-46.2214,26.42,72,23,2.16,BR,1680548682
138,chokurdakh,70.6333,147.9167,-14.5,95,98,4.29,RU,1680548488
139,karlskrona,56.1616,15.5866,-0.75,73,12,1.6,SE,1680548686
140,ilulissat,69.2167,-51.1,-7.99,67,40,8.23,GL,1680548631
141,el dorado,38.7666,-120.5177,6.43,69,99,1.34,US,1680548691
142,vernon,50.2581,-119.2691,7.39,51,100,1.54,CA,1680548428
143,airai,-8.9266,125.4092,14.08,93,85,1.89,TL,1680548523
144,iqaluit,63.7506,-68.5145,-13.15,66,75,7.2,CA,1680548368
145,longyearbyen,78.2186,15.6401,-12.09,72,75,9.26,SJ,1680548699
146,port alfred,-33.5906,26.891,18.99,82,39,3.58,ZA,1680548629
147,toila,59.4236,27.5025,-1.15,89,94,7.62,EE,1680548710
148,mount isa,-20.7333,139.5,20.87,32,91,3.6,AU,1680548438
149,trat,12.5,102.5,24.69,79,35,0.65,TH,1680548714
150,bubaque,11.2833,-15.8333,25.86,76,7,7.22,GW,1680548718
151,sayyan,15.1718,44.3244,14.63,72,31,2.09,YE,1680548604
152,inhambane,-23.865,35.3833,25.0,73,0,3.81,MZ,1680548679
153,dubbo,-32.25,148.6167,16.07,82,100,3.6,AU,1680548726
154,udachnyy,66.4167,112.4,-3.64,79,100,8.85,RU,1680548621
155,barrow,71.2906,-156.7887,-16.99,85,100,5.14,US,1680548633
156,starokostyantyniv,49.7576,27.2034,1.02,97,100,4.1,UA,1680548734
157,nikolskoye,59.7035,30.7861,-0.05,95,100,4.13,RU,1680548534
158,denpasar,-8.65,115.2167,25.81,100,40,1.03,ID,1680548633
159,port hedland,-20.3167,118.5667,27.03,83,11,0.0,AU,1680548741
160,fortuna,40.5982,-124.1573,8.14,84,77,0.45,US,1680548500
161,thompson,55.7435,-97.8558,-13.91,56,20,0.0,CA,1680548512
162,north platte,41.1239,-100.7654,12.94,37,20,9.39,US,1680548538
163,ahipara,-35.1667,173.1667,16.63,65,58,4.85,NZ,1680548750
164,surt,31.2089,16.5887,17.98,52,2,10.41,LY,1680548752
165,raga,8.4596,25.678,28.75,15,46,1.63,SS,1680548754
166,yei,4.095,30.6779,22.84,66,100,2.11,SS,1680548507
167,east london,-33.0153,27.9116,19.52,68,0,5.66,ZA,1680548348
168,roebourne,-20.7833,117.1333,27.97,74,8,4.56,AU,1680548761
169,camocim,-2.9022,-40.8411,27.46,76,100,2.89,BR,1680548763
170,polis,35.0367,32.4264,14.9,80,49,1.6,CY,1680548766
171,veraval,20.9,70.3667,24.6,78,0,4.54,IN,1680548768
172,victor harbor,-35.5667,138.6167,14.19,65,47,2.12,AU,1680548771
173,esperance,-33.8667,121.9,18.63,85,99,2.66,AU,1680548463
174,katsuura,35.1333,140.3,10.2,63,0,5.01,JP,1680548588
175,okitipupa,6.5047,4.7839,25.49,90,100,1.27,NG,1680548778
176,torbay,47.6666,-52.7314,1.99,72,75,10.29,CA,1680548441
177,yuzhnyy,53.2542,83.6936,0.21,37,0,4.0,RU,1680548782
178,cururupu,-1.8283,-44.8683,25.53,86,100,1.22,BR,1680548745
179,oranjemund,-28.55,16.4333,16.45,82,0,8.08,NA,1680548787
180,aksarka,66.5606,67.7975,-20.67,95,7,4.59,RU,1680548790
181,show low,34.2542,-110.0298,15.04,16,0,14.92,US,1680548793
182,scarborough,54.2797,-0.4044,6.76,81,18,4.92,GB,1680548185
183,guerrero negro,27.9769,-114.0611,16.87,64,93,9.6,MX,1680548798
184,piacabucu,-10.4056,-36.4344,28.18,68,100,4.07,BR,1680548637
185,conceicao do araguaia,-8.2578,-49.2647,27.24,77,100,1.36,BR,1680548561
186,pisco,-13.7,-76.2167,27.03,74,0,6.69,PE,1680548647
187,tevaitoa,-16.7833,-151.5,27.73,69,77,2.21,PF,1680548807
188,san francisco,37.7749,-122.4194,13.53,47,20,10.8,US,1680548638
189,vaini,-21.2,-175.2,26.2,64,7,6.49,TO,1680548811
190,yar-sale,66.8333,70.8333,-21.97,92,15,4.92,RU,1680548457
191,baghdad,33.3406,44.4009,17.95,59,0,0.51,IQ,1680548751
192,harper,4.375,-7.7169,26.88,82,53,2.51,LR,1680548818
193,gorgan,36.8387,54.4348,6.98,93,0,0.0,IR,1680548820
194,mizdah,31.4451,12.9801,14.62,28,0,5.86,LY,1680548827
195,bonthe,7.5264,-12.505,27.83,76,44,3.58,SL,1680548829
196,cidreira,-30.1811,-50.2056,23.55,63,40,5.42,BR,1680548834
197,sorland,67.667,12.6934,2.92,75,76,7.27,NO,1680548839
198,half moon bay,37.4636,-122.4286,14.12,50,0,11.32,US,1680548439
199,rio gallegos,-51.6226,-69.2181,22.03,21,75,13.89,AR,1680548844
200,vostok,46.4856,135.8833,3.68,88,100,2.46,RU,1680548847
201,san antonio,29.4241,-98.4936,32.73,57,75,5.14,US,1680548226
202,aklavik,68.2191,-135.0107,-11.91,86,91,0.94,CA,1680548853
203,sibu,2.3,111.8167,22.97,96,100,0.97,MY,1680548855
204,yuanping,38.7153,112.7575,7.1,78,100,2.24,CN,1680548857
205,kuytun,54.3419,101.5036,-4.66,85,99,3.8,RU,1680548859
206,tonota,-21.4833,27.4833,21.3,42,0,3.65,BW,1680548862
207,severodvinsk,64.5635,39.8302,-3.94,94,84,3.13,RU,1680548864
208,ismaning,48.2174,11.6629,3.67,57,0,5.14,DE,1680548620
209,kupang,-10.1667,123.5833,24.44,86,100,2.48,ID,1680548868
210,bathsheba,13.2167,-59.5167,29.34,65,75,8.75,BB,1680548870
211,ahuimanu,21.4447,-157.8378,24.84,82,75,4.63,US,1680548732
212,sioux lookout,50.1001,-91.917,-4.49,74,100,3.76,CA,1680548825
213,ternate,0.8,127.4,26.85,80,54,2.4,ID,1680548704
214,trinidad,-14.8333,-64.9,32.99,55,40,4.12,BO,1680548772
215,egvekinot,66.3167,-179.1667,-25.61,89,51,3.78,RU,1680548881
216,karlskoga,59.3267,14.5239,2.62,84,100,1.08,SE,1680548883
217,barroso,-21.1869,-43.9758,20.47,85,100,2.27,BR,1680548879
218,dombarovskiy,50.7587,59.5386,6.45,55,25,4.45,RU,1680548888
219,guaruja,-23.9931,-46.2564,27.72,26,32,4.02,BR,1680548891
220,zharkent,44.1628,80.0,7.53,21,0,3.16,KZ,1680548893
221,san jose,37.3394,-121.895,14.09,42,40,8.94,US,1680548397
222,sinnamary,5.3833,-52.95,27.61,65,34,4.26,GF,1680548810
223,alice springs,-23.7,133.8833,16.75,94,100,0.0,AU,1680548908
224,lasa,46.6166,10.7002,-1.49,92,39,3.2,IT,1680548721
225,srandakan,-7.9386,110.2506,23.64,91,100,3.02,ID,1680548913
226,santiago,-33.4569,-70.6483,26.69,32,75,5.14,CL,1680548782
227,warrington,53.3925,-2.5802,10.45,65,0,3.09,GB,1680548914
228,mirnyy,62.5353,113.9611,-5.98,85,100,4.92,RU,1680548920
229,klaksvik,62.2266,-6.589,8.51,89,100,9.61,FO,1680548424
230,kununurra,-15.7667,128.7333,23.99,94,13,1.54,AU,1680548924
231,funtua,11.5233,7.3081,27.7,8,9,3.8,NG,1680548927
232,chuy,-33.6971,-53.4616,18.93,69,100,0.9,UY,1680548272
233,khanpur,28.6453,70.6567,23.68,53,0,8.22,PK,1680548932
234,howard springs,-12.497,131.047,25.95,98,100,1.18,AU,1680548934
235,chaozhou,23.6651,116.6379,19.22,91,100,1.71,CN,1680548936
236,mont-de-marsan,44.0,-0.6667,14.71,62,0,1.54,FR,1680548772
237,maniitsoq,65.4167,-52.9,-0.18,72,46,2.55,GL,1680548940
238,naze,28.3667,129.4833,17.08,61,100,9.02,JP,1680548847
239,zhoucun,36.8167,117.8167,9.95,82,100,7.23,CN,1680548945
240,broken hill,-31.95,141.4333,15.36,34,0,3.12,AU,1680548947
241,plouzane,48.3833,-4.6167,9.1,73,0,4.12,FR,1680548951
242,constitucion,-35.3333,-72.4167,19.31,56,100,7.26,CL,1680548563
243,farah,32.5,62.5,16.2,19,0,2.3,AF,1680548956
244,coquimbo,-29.9533,-71.3436,16.85,88,75,5.66,CL,1680548596
245,pokrovsk,48.282,37.1758,7.58,89,100,4.72,UA,1680548961
246,arman,59.7,150.1667,-17.44,86,16,3.22,RU,1680548964
247,shadrinsk,56.0852,63.6335,4.11,82,6,3.25,RU,1680548966
248,alta floresta,-9.8756,-56.0861,26.72,73,61,0.78,BR,1680548968
249,rabaul,-4.1967,152.1721,26.61,76,100,1.21,PG,1680548971
250,mayumba,-3.432,10.6554,26.62,80,100,2.95,GA,1680548975
251,saint-augustin,51.226,-58.6502,2.23,65,33,6.16,CA,1680548616
252,broome,42.2506,-75.833,17.56,38,0,8.23,US,1680548806
253,mehamn,71.0357,27.8492,-0.03,74,0,10.8,NO,1680548982
254,dalby,-27.1833,151.2667,16.73,84,0,2.79,AU,1680548765
